SL.No.,State/UT,Year,Rape ,Kidnapping & Abduction,Dowery Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of women,Cruelty by Husband or his Relatives,Importation of girls,Cyber Crimes(women centric crimes)
91,Nagaland,2019,8,13,0,8,1,0,0,0
92,Odisha,2019,1383,3934,342,11318,537,2863,22,390
93,Punjab,2019,1008,1550,70,945,36,1614,9,22
94,Rajasthan,2019,6051,5915,453,8807,69,18453,53,41
95,Sikkim,2019,11,0,0,24,2,1,0,1
96,Tamil Nadu,2019,362,702,28,805,7,781,556,45
97,Telangana,2019,873,1337,163,4207,697,8541,34,66
98,Tripura,2019,88,139,38,154,5,452,0,3
99,Uttar Pradesh,2019,3131,11745,2424,12157,42,18617,27,210
100,Uttarakhand,2019,526,382,57,478,10,644,5,18
101,West Bengal,2019,1069,4397,444,3416,394,17150,153,13
102,A&N Islands,2019,13,0,0,27,3,1,0,1
103,Chandigarh,2019,112,140,6,66,15,177,0,1
104,D&N Haveli,2019,0,1,3,3,0,3,0,0
105,Daman & Diu,2019,4,2,2,5,3,4,10,0
106,Delhi,2019,1253,3789,117,2356,462,3792,6,13
107,Lakshadweep,2019,0,0,0,5,8,0,0,0
108,Puducherry,2019,10,0,0,23,0,8,0,0
109,Andhra Pradesh,2020,1107,537,111,4888,2371,6579,64,51
110,Arunachal Pradesh,2020,63,48,0,76,3,70,0,0
111,Assam,2020,1658,5915,150,4654,90,11413,18,402
112,Bihar,2020,806,6747,1047,587,6,1936,33,9
113,Chhattisgarh,2020,1212,1357,71,1640,279,674,3,37
114,Goa,2020,61,33,0,71,35,8,0,1
115,Gujarat,2020,486,603,7,852,18,3345,57,27
116,Haryana,2020,1373,2449,251,2339,183,4122,39,87
117,Himachal Pradesh,2020,332,284,1,541,88,259,0,39
118,Jammu & Kashmir,2020,247,783,9,1766,35,349,0,16
119,Jharkhand,2020,1326,995,280,1361,6,882,2,3
120,Karnataka,2020,507,951,178,5248,71,2092,312,156
121,Kerala,2020,647,152,6,3971,454,2736,6,121
122,Madhya Pradesh,2020,2341,4990,627,5431,200,5540,31,63
123,Maharashtra,2020,2065,5332,197,10007,969,6749,119,132
124,Manipur,2020,32,49,1,61,8,7,0,3
125,Meghalaya,2020,67,29,1,86,18,17,0,9
126,Mizoram,2020,33,1,0,26,3,7,0,1
127,Nagaland,2020,4,6,1,7,2,2,0,0
128,Odisha,2020,1211,3775,320,12641,615,3659,19,526
129,Punjab,2020,504,1260,63,732,29,1271,15,41
130,Rajasthan,2020,5337,4766,480,8690,86,13896,76,31
131,Sikkim,2020,13,13,0,19,0,1,0,0
132,Tamil Nadu,2020,390,653,40,907,31,702,377,191
133,Telangana,2020,765,1341,175,4928,701,7745,15,45
134,Tripura,2020,79,110,23,118,3,358,0,3
135,Uttar Pradesh,2020,2796,9257,2302,9903,28,14533,36,338
136,Uttarakhand,2020,487,350,65,474,43,669,8,27
137,West Bengal,2020,1128,7805,523,2784,446,19966,92,24
138,A&N Islands,2020,2,1,0,15,3,2,0,1
139,Chandigarh,2020,60,92,1,43,4,96,0,1
140,D&N Haveli and Daman & Diu,2020,4,0,1,6,3,4,0,0
141,Delhi,2020,997,3009,112,1841,418,2591,3,13
142,Ladakh,2020,2,0,0,4,0,3,0,0
143,Lakshadweep,2020,3,0,0,3,1,0,0,1
144,Puducherry,2020,8,0,2,25,0,9,0,0
